"Team","Scoring Offense_Games","Scoring Offense_Goals","Scoring_Off","Scoring Defense_Games","Scoring Defense_Goals Allowed","Scoring_Def","Face-Off Winning Percentage_Games","Face-Off Winning Percentage_FOs Won","Face-Off Winning Percentage_FOs Lost","Face-Off Winning Percentage_TM FOT","FO_Pct","Man-Up Offense_Games","Man-Up Offense_EMO Goals","ManUp_Att","ManUp_Pct","Man-Down Defense_Games","ManDown_GA","Man-Down Defense_OPP ATT","ManDown_Pct","Win_W","Win_L","Win_Pct","Scoring Margin_Games","Scoring Margin_Goals","Scoring Margin_Goals Allowed","Margin","Assists Per Game_Games","Assists Per Game_Assists","Ast_Per_Game","Saves Per Game_Games","Saves Per Game_Saves","Saves Per Game_Per Game","Points Per Game_Games","Points Per Game_Goals","Points Per Game_Assists","Points Per Game_Points","Points Per Game_Per Game","Ground Balls Per Game_Games","Ground Balls Per Game_Ground Balls","GB_Per_Game","Turnovers Per Game_Games","Turnovers Per Game_TO","TO_Per_Game","Caused Turnovers Per Game_Games","Caused Turnovers Per Game_CT","CTO_Per_Game","Shot Percentage_Games","Shot Percentage_Goals","Shot Percentage_Shots","Shot_Pct","Clearing Percentage_Games","Clearing Percentage_Clears","Clearing Percentage_Att","Clear_Pct","Season","Scraped_Date","Goalie_Saves","Goalie_GA","Goalie_SV_Pct","USILA_Rank","IL_Rank","Conference","Off_Rating","Def_Rating","Spc_Rating","Power_Rating","Conf_Adj","Pace","Power_Rank","Model_ID","Model_Name","Ratings_Date"
"Holy Cross",7,72,10.29,7,74,10.57,7,101,73,174,0.58,7,7,16,0.438,7,5,15,0.667,4,3,0.571,7,72,74,-0.29,7,47,6.71,7,78,11.14,7,72,47,119,17,7,182,26,7,124,17.71,7,65,9.29,7,72,272,0.265,7,118,144,0.819,2026,2026-03-16,78,74,0.5132,NA,NA,"Patriot League",-2.15,1.17,4.64,-0.08,0.2916,10.43,37,"v5","Margin of Victory","2026-03-28"
"Iona",9,61,6.78,9,152,16.89,9,76,168,244,0.311,9,7,30,0.233,9,11,30,0.633,0,9,0,9,61,152,-10.11,9,36,4,9,137,15.22,9,61,36,97,10.78,9,228,25.33,9,175,19.44,9,64,7.11,9,61,266,0.229,9,156,197,0.792,2026,2026-03-16,NA,NA,0.513708955223881,NA,NA,"MAAC",-9.68,-12.56,-12.02,-11.87,-0.7271,11.84,75,"v5","Margin of Victory","2026-03-28"
"Jacksonville",7,95,13.57,7,61,8.71,7,96,84,180,0.533,7,8,24,0.333,7,6,18,0.667,3,4,0.429,7,95,61,4.86,7,57,8.14,7,70,10,7,95,57,152,21.71,7,251,35.86,7,109,15.57,7,77,11,7,95,287,0.331,7,135,153,0.882,2026,2026-03-16,68,58,0.5397,NA,NA,"ASUN",4.88,5.21,1.73,5.12,0.1459,11.14,12,"v5","Margin of Victory","2026-03-28"
"Johns Hopkins",6,74,12.33,6,62,10.33,6,75,82,157,0.478,6,10,19,0.526,6,4,16,0.75,4,2,0.667,6,74,62,2,6,51,8.5,6,65,10.83,6,74,51,125,20.83,6,187,31.17,6,81,13.5,6,54,9,6,74,269,0.275,6,104,115,0.904,2026,2026-03-16,36,39,0.48,16,12,"Big Ten",2.22,1.69,-1.68,2.97,0.7363,11.33,18,"v5","Margin of Victory","2026-03-28"
"LIU",6,72,12,6,59,9.83,6,80,68,148,0.541,6,12,22,0.545,6,6,12,0.5,5,1,0.833,6,72,59,2.17,6,39,6.5,6,64,10.67,6,72,39,111,18.5,6,127,21.17,6,84,14,6,41,6.83,6,72,249,0.289,6,107,114,0.939,2026,2026-03-16,48,44,0.5217,NA,NA,"NEC",1.51,2.77,2.23,1.71,-0.2581,10.91,29,"v5","Margin of Victory","2026-03-28"
"Lafayette",7,89,12.71,7,63,9,7,105,73,178,0.59,7,5,20,0.25,7,7,23,0.696,5,2,0.714,7,89,63,3.71,7,50,7.14,7,64,9.14,7,89,50,139,19.86,7,237,33.86,7,123,17.57,7,66,9.43,7,89,283,0.314,7,118,142,0.831,2026,2026-03-16,57,48,0.5429,NA,NA,"Patriot League",3.04,4.58,5.26,4.12,0.2916,10.86,15,"v5","Margin of Victory","2026-03-28"
"Lehigh",6,74,12.33,6,76,12.67,6,83,85,168,0.494,6,12,23,0.522,6,9,24,0.625,2,4,0.333,6,74,76,-0.33,6,45,7.5,6,70,11.67,6,74,45,119,19.83,6,191,31.83,6,111,18.5,6,54,9,6,74,222,0.333,6,101,121,0.835,2026,2026-03-16,68,74,0.4789,NA,NA,"Patriot League",2.22,-3.39,-0.68,-0.12,0.2916,12.5,38,"v5","Margin of Victory","2026-03-28"
"Loyola Maryland",6,74,12.33,6,73,12.17,6,79,87,166,0.476,6,6,14,0.429,6,7,15,0.533,4,2,0.667,6,74,73,0.17,6,48,8,6,83,13.83,6,74,48,122,20.33,6,194,32.33,6,86,14.33,6,47,7.83,6,74,233,0.318,6,111,139,0.799,2026,2026-03-16,83,71,0.539,NA,NA,"Patriot League",2.22,-2.31,-1.8,0.41,0.2916,12.25,32,"v5","Margin of Victory","2026-03-28"
"Manhattan",6,54,9,6,75,12.5,6,60,84,144,0.417,6,3,13,0.231,6,4,17,0.765,2,4,0.333,6,54,75,-3.5,6,23,3.83,6,68,11.33,6,54,23,77,12.83,6,173,28.83,6,105,17.5,6,33,5.5,6,54,195,0.277,6,104,119,0.874,2026,2026-03-16,NA,NA,0.513708955223881,NA,NA,"MAAC",-4.92,-3.02,-5.46,-4.93,-0.7271,10.75,65,"v5","Margin of Victory","2026-03-28"
"Marist",5,56,11.2,5,54,10.8,5,60,64,124,0.484,5,5,15,0.333,5,1,8,0.875,3,2,0.6,5,56,54,0.4,5,33,6.6,5,60,12,5,56,33,89,17.8,5,127,25.4,5,72,14.4,5,39,7.8,5,56,235,0.238,5,86,101,0.851,2026,2026-03-16,51,41,0.5543,NA,NA,"MAAC",-0.2,0.67,-1.3,-0.83,-0.7271,11,44,"v5","Margin of Victory","2026-03-28"
"Marquette",7,80,11.43,7,88,12.57,7,96,96,192,0.5,7,4,19,0.211,7,7,20,0.65,3,4,0.429,7,80,88,-1.14,7,41,5.86,7,76,10.86,7,80,41,121,17.29,7,198,28.29,7,94,13.43,7,46,6.57,7,80,276,0.29,7,141,155,0.91,2026,2026-03-16,69,85,0.4481,NA,NA,"Big East",0.29,-3.18,-0.31,-1.53,-0.0923,12,46,"v5","Margin of Victory","2026-03-28"
